weight,costOfGoods,destination,originBranchOfficeId,modalId,fulfillmentMethod,freightCostCurrency,deliveryMethodType,productCategory,quantity,isPickupEnabled,deliveryMethodId,state,shippingMethod,descriptionLogistic,estimatedDeliveryTimeUnit,providerShippingCost,origin,estimatedDeliveryTimeValue,isSchedulingEnabled,isRecommendation,description,freightCost,displayName,sku,idShop,deliveryEstimateBusinessDays,distinctOrigins
0.059999998658895,19.9,5613005,originBranchOfficeId_0,modalId_0,fulfillmentMethod_0,R$,deliveryMethodType_0,productCategory_0,1,isPickupEnabled_0,deliveryMethodId_0,state_0,shippingMethod_0,descriptionLogistic_0,DAY,5.73,23575450,4,isSchedulingEnabled_0,isRecommendation_0,description_0,freightCost_0,displayName_0,sku_0,idShop_0,4,1
0.24999999627471,19.9,5613005,originBranchOfficeId_0,modalId_0,fulfillmentMethod_0,R$,deliveryMethodType_0,productCategory_0,1,isPickupEnabled_0,deliveryMethodId_0,state_0,shippingMethod_0,descriptionLogistic_0,DAY,5.73,23575450,4,isSchedulingEnabled_0,isRecommendation_0,description_0,freightCost_0,displayName_0,sku_0,idShop_1,4,1
0.24999999627471,119.9,5613005,originBranchOfficeId_0,modalId_0,fulfillmentMethod_0,R$,deliveryMethodType_0,productCategory_1,1,isPickupEnabled_0,deliveryMethodId_0,state_0,shippingMethod_0,descriptionLogistic_0,DAY,5.73,23575450,4,isSchedulingEnabled_0,isRecommendation_0,description_0,freightCost_0,displayName_0,sku_1,idShop_1,4,1
0.400000002235174,19.9,5613005,originBranchOfficeId_0,modalId_0,fulfillmentMethod_0,R$,deliveryMethodType_0,productCategory_0,1,isPickupEnabled_0,deliveryMethodId_0,state_0,shippingMethod_0,descriptionLogistic_0,DAY,5.73,23575450,4,isSchedulingEnabled_0,isRecommendation_0,description_0,freightCost_0,displayName_0,sku_0,idShop_2,4,1
0.400000002235174,119.9,5613005,originBranchOfficeId_0,modalId_0,fulfillmentMethod_0,R$,deliveryMethodType_0,productCategory_1,1,isPickupEnabled_0,deliveryMethodId_0,state_0,shippingMethod_0,descriptionLogistic_0,DAY,5.73,23575450,4,isSchedulingEnabled_0,isRecommendation_0,description_0,freightCost_0,displayName_0,sku_1,idShop_2,4,1
0.400000002235174,25.9,5613005,originBranchOfficeId_0,modalId_0,fulfillmentMethod_0,R$,deliveryMethodType_0,productCategory_2,1,isPickupEnabled_0,deliveryMethodId_0,state_0,shippingMethod_0,descriptionLogistic_0,DAY,5.73,23575450,4,isSchedulingEnabled_0,isRecommendation_0,description_0,freightCost_0,displayName_0,sku_2,idShop_2,4,1
0.059999998658895,19.9,5613005,originBranchOfficeId_0,modalId_1,fulfillmentMethod_0,R$,deliveryMethodType_1,productCategory_0,1,isPickupEnabled_0,deliveryMethodId_1,state_0,shippingMethod_1,descriptionLogistic_1,DAY,4.55,23575450,3,isSchedulingEnabled_1,isRecommendation_0,description_1,freightCost_1,displayName_1,sku_0,idShop_0,3,1
0.24999999627471,19.9,5613005,originBranchOfficeId_0,modalId_1,fulfillmentMethod_0,R$,deliveryMethodType_1,productCategory_0,1,isPickupEnabled_0,deliveryMethodId_1,state_0,shippingMethod_1,descriptionLogistic_1,DAY,4.55,23575450,3,isSchedulingEnabled_1,isRecommendation_0,description_1,freightCost_1,displayName_1,sku_0,idShop_1,3,1
0.24999999627471,119.9,5613005,originBranchOfficeId_0,modalId_1,fulfillmentMethod_0,R$,deliveryMethodType_1,productCategory_1,1,isPickupEnabled_0,deliveryMethodId_1,state_0,shippingMethod_1,descriptionLogistic_1,DAY,4.55,23575450,3,isSchedulingEnabled_1,isRecommendation_0,description_1,freightCost_1,displayName_1,sku_1,idShop_1,3,1
0.400000002235174,19.9,5613005,originBranchOfficeId_0,modalId_1,fulfillmentMethod_0,R$,deliveryMethodType_1,productCategory_0,1,isPickupEnabled_0,deliveryMethodId_1,state_0,shippingMethod_1,descriptionLogistic_1,DAY,4.55,23575450,3,isSchedulingEnabled_1,isRecommendation_0,description_1,freightCost_1,displayName_1,sku_0,idShop_2,3,1
